goalkeeper,team,appearances,starts,minutes,accurateBackZonePass,accurateChippedPass,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attBxCentre,attCmissRight,attCorner,attFreekickGoal,attFreekickTotal,attGoalHighLeft,attHdMiss,attHdTotal,attIboxMiss,attLgRight,attMissRight,attOboxGoal,attRfGoal,attRfTotal,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceSaves,blockedPass,carries,challengeLost,cleanSheet,diveSave,divingSave,duelLost,duelWon,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,finalThirdEntriesOpenPlay,formationPlace,fouls,fwdPass,gameStarted,gkSmother,goalKicks,goals,goalsConceded,goalsConcededIbox,goalsConcededObox,goodHighClaim,headClearance,headPass,keeperPickUp,keeperThrows,lastManTackle,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,minsPlayed,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,ownGoalsConceded,passesLeft,passesRight,penAreaEntries,penAreaEntriesOpenPlay,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,possLostAll,possLostCtrl,possWonDef3rd,possWonMid3rd,progressiveCarries,punches,putThrough,rightsidePass,savedIbox,savedObox,saves,secondGoalAssist,shotCreated,shotOffTarget,standCatch,standSave,successfulFinalThirdEntries,successfulFinalThirdEntriesOpenPlay,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPenAreaEntries,successfulPenAreaEntriesOpenPlay,successfulPutThrough,timesTackled,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalFinalThirdPasses,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalPass,totalScoringAtt,totalSubOff,totalSubOn,totalTackle,totalThrows,touches,touchesInFinalThird,touchesInOppBox,turnover,unsuccessfulTouch,wasFouled,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
Aron Snær Friðriksson,Víkingur R,14,13,1185.0,294.0,22.0,40.0,13.0,10.0,48.0,39.0,0.0,70.0,334.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,38.0,0.0,0.0,0.0,86.0,0.0,5.0,0.0,68.0,0.0,6.0,1.0,1.0,1.0,9.0,12.0,0.0,0.0,0.0,45.0,34.0,13.0,0.0,263.0,13.0,0.0,21.0,0.0,10.0,8.0,2.0,4.0,0.0,0.0,69.0,49.0,1.0,77.0,117.0,41.0,9.0,1185.0,0.0,0.0,0.0,403.0,0.0,9.0,23.0,1.0,0.0,1.0,0.0,1.0,0.0,113.0,113.0,13.0,0.0,21.0,4.0,0.0,103.0,15.0,6.0,21.0,0.0,0.0,0.0,0.0,9.0,14.0,9.0,14.0,312.0,1.0,0.0,0.0,1.0,0.0,327.0,52.0,12.0,1.0,45.0,116.0,4.0,10.0,103.0,0.0,175.0,443.0,0.0,1.0,1.0,3.0,0.0,537.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0
Árni Marinó Einarsson,ÍA,12,12,1080.0,230.0,18.0,53.0,17.0,9.0,42.0,43.0,0.0,78.0,283.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,67.0,0.0,0.0,0.0,107.0,0.0,5.0,0.0,64.0,1.0,1.0,4.0,8.0,1.0,9.0,16.0,4.0,0.0,2.0,51.0,35.0,12.0,0.0,262.0,12.0,1.0,36.0,0.0,19.0,17.0,2.0,13.0,4.0,0.0,73.0,44.0,0.0,73.0,163.0,53.0,9.0,1080.0,0.0,0.0,0.0,333.0,0.0,11.0,13.0,3.0,3.0,2.0,0.0,3.0,1.0,135.0,135.0,20.0,1.0,25.0,3.0,1.0,80.0,27.0,15.0,42.0,0.0,0.0,0.0,1.0,13.0,19.0,10.0,19.0,248.0,0.0,0.0,0.0,0.0,0.0,253.0,28.0,16.0,1.0,51.0,162.0,17.0,9.0,121.0,0.0,208.0,415.0,0.0,0.0,0.0,1.0,0.0,542.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0
Jón Sölvi Símonarson,ÍA,8,8,720.0,150.0,10.0,33.0,26.0,7.0,38.0,28.0,1.0,45.0,183.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82.0,53.0,0.0,0.0,0.0,72.0,1.0,5.0,0.0,42.0,0.0,2.0,2.0,7.0,1.0,5.0,17.0,0.0,0.0,1.0,32.0,22.0,8.0,1.0,174.0,8.0,1.0,37.0,0.0,19.0,14.0,5.0,3.0,0.0,0.0,56.0,40.0,0.0,35.0,98.0,33.0,11.0,720.0,0.0,1.0,0.0,210.0,0.0,7.0,12.0,5.0,5.0,2.0,1.0,3.0,1.0,92.0,92.0,13.0,0.0,13.0,2.0,0.0,62.0,14.0,10.0,25.0,0.0,1.0,0.0,0.0,6.0,10.0,6.0,10.0,142.0,1.0,1.0,0.0,0.0,1.0,173.0,20.0,17.0,0.0,32.0,98.0,4.0,8.0,90.0,1.0,131.0,271.0,0.0,0.0,0.0,1.0,0.0,363.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
Ívar Arnbro Þórhallsson,KA,6,6,540.0,125.0,19.0,21.0,25.0,5.0,32.0,14.0,0.0,37.0,146.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,38.0,0.0,0.0,0.0,53.0,0.0,3.0,0.0,16.0,1.0,1.0,5.0,8.0,1.0,1.0,10.0,0.0,0.0,1.0,23.0,14.0,6.0,0.0,127.0,6.0,0.0,43.0,0.0,15.0,12.0,3.0,1.0,0.0,0.0,39.0,33.0,0.0,34.0,76.0,21.0,9.0,540.0,0.0,0.0,0.0,156.0,0.0,21.0,17.0,1.0,1.0,1.0,0.0,1.0,0.0,74.0,74.0,13.0,0.0,4.0,6.0,0.0,56.0,16.0,11.0,27.0,0.0,0.0,0.0,1.0,6.0,4.0,3.0,4.0,110.0,0.0,0.0,0.0,0.0,0.0,142.0,26.0,10.0,0.0,23.0,75.0,2.0,5.0,57.0,0.0,108.0,217.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ingvar Jónsson,Víkingur R,5,5,405.0,88.0,13.0,10.0,6.0,6.0,12.0,7.0,0.0,22.0,98.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,23.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,16.0,12.0,5.0,0.0,70.0,5.0,0.0,7.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,22.0,13.0,0.0,30.0,36.0,10.0,2.0,405.0,0.0,0.0,0.0,120.0,0.0,3.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,36.0,36.0,6.0,0.0,9.0,0.0,0.0,32.0,6.0,2.0,8.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,3.0,91.0,0.0,0.0,0.0,0.0,0.0,97.0,17.0,6.0,0.0,16.0,35.0,4.0,6.0,34.0,0.0,54.0,132.0,0.0,1.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcel Zapytowski,ÍBV,4,4,360.0,89.0,14.0,10.0,22.0,5.0,17.0,8.0,0.0,29.0,99.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,30.0,0.0,0.0,1.0,33.0,0.0,2.0,0.0,23.0,1.0,0.0,2.0,8.0,1.0,3.0,10.0,0.0,1.0,0.0,16.0,11.0,4.0,0.0,91.0,4.0,0.0,37.0,0.0,14.0,10.0,4.0,1.0,0.0,0.0,25.0,17.0,0.0,33.0,43.0,10.0,4.0,360.0,1.0,0.0,0.0,107.0,1.0,5.0,6.0,2.0,1.0,0.0,0.0,1.0,1.0,58.0,58.0,7.0,0.0,9.0,2.0,1.0,31.0,9.0,3.0,12.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0,72.0,1.0,1.0,0.0,0.0,1.0,113.0,23.0,10.0,0.0,16.0,43.0,1.0,5.0,35.0,0.0,83.0,156.0,0.0,0.0,0.0,1.0,0.0,200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ögmundur Kristinsson,Víkingur R,3,2,210.0,45.0,6.0,11.0,5.0,2.0,11.0,5.0,0.0,13.0,56.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,16.0,13.0,2.0,0.0,47.0,2.0,0.0,7.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,22.0,11.0,0.0,24.0,28.0,11.0,0.0,210.0,0.0,0.0,0.0,64.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,3.0,0.0,3.0,1.0,0.0,7.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,50.0,11.0,3.0,0.0,16.0,28.0,0.0,2.0,18.0,0.0,35.0,78.0,0.0,0.0,1.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darri Bergmann Gylfason,Stjarnan,2,2,180.0,57.0,4.0,5.0,7.0,2.0,10.0,1.0,0.0,7.0,62.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,19.0,0.0,2.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,41.0,2.0,0.0,8.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,12.0,11.0,0.0,15.0,15.0,5.0,0.0,180.0,0.0,0.0,0.0,64.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,7.0,0.0,2.0,1.0,0.0,19.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,60.0,8.0,3.0,0.0,2.0,15.0,1.0,2.0,9.0,0.0,20.0,75.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sigurpáll Sören Ingólfsson,KR,1,1,90.0,19.0,0.0,3.0,6.0,2.0,4.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,15.0,1.0,0.0,6.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,3.0,4.0,0.0,8.0,5.0,3.0,0.0,90.0,0.0,0.0,0.0,19.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,2.0,0.0,1.0,5.0,2.0,2.0,1.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arnar Freyr Ólafsson,KR,1,1,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
