goalkeeper,team,appearances,starts,minutes,accurateBackZonePass,accurateChippedPass,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLongBalls,accuratePass,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attBxCentre,attCmissRight,attCorner,attHdMiss,attHdTotal,attIboxMiss,attMissRight,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,backwardPass,ballRecovery,bigChanceCreated,bigChanceSaves,blockedPass,carries,challengeLost,cleanSheet,diveSave,divingSave,duelLost,duelWon,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,finalThirdEntriesOpenPlay,formationPlace,fouls,fwdPass,gameStarted,gkSmother,goalKicks,goalsConceded,goalsConcededIbox,goalsConcededObox,goodHighClaim,headClearance,keeperPickUp,keeperThrows,lastManTackle,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,minsPlayed,offtargetAttAssist,ontargetAttAssist,openPlayPass,ownGoalsConceded,passesLeft,passesRight,penAreaEntries,penAreaEntriesOpenPlay,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,possLostAll,possLostCtrl,possWonDef3rd,possWonMid3rd,progressiveCarries,punches,putThrough,rightsidePass,savedIbox,savedObox,saves,shotCreated,shotOffTarget,standCatch,standSave,successfulFinalThirdEntries,successfulFinalThirdEntriesOpenPlay,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPenAreaEntries,successfulPenAreaEntriesOpenPlay,successfulPutThrough,timesTackled,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalFinalThirdPasses,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLongBalls,totalPass,totalScoringAtt,totalSubOff,totalSubOn,totalTackle,totalThrows,touches,touchesInFinalThird,touchesInOppBox,turnover,unsuccessfulTouch,wasFouled,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
Árni Snær Ólafsson,Stjarnan,13,13,1170.0,417.0,47.0,71.0,51.0,5.0,55.0,28.0,104.0,488.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,140.0,72.0,0.0,1.0,135.0,0.0,3.0,0.0,117.0,1.0,0.0,7.0,12.0,3.0,16.0,10.0,1.0,0.0,0.0,99.0,63.0,13.0,1.0,329.0,13.0,1.0,61.0,29.0,23.0,6.0,5.0,1.0,102.0,56.0,1.0,147.0,156.0,69.0,12.0,1170.0,0.0,1.0,491.0,0.0,23.0,20.0,13.0,8.0,2.0,1.0,2.0,0.0,118.0,118.0,27.0,1.0,66.0,3.0,0.0,125.0,32.0,20.0,52.0,1.0,0.0,0.0,11.0,36.0,23.0,36.0,408.0,3.0,1.0,0.0,1.0,1.0,444.0,71.0,10.0,3.0,99.0,158.0,7.0,5.0,91.0,212.0,602.0,0.0,0.0,0.0,1.0,1.0,747.0,0.0,0.0,1.0,1.0,8.0,0.0,2.0,1.0,1.0,1.0
Frederik August Albrecht Schram,Valur,13,13,1170.0,252.0,30.0,52.0,76.0,6.0,64.0,33.0,104.0,304.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,109.0,0.0,0.0,115.0,0.0,1.0,0.0,40.0,1.0,2.0,7.0,14.0,2.0,8.0,22.0,0.0,0.0,0.0,78.0,30.0,13.0,0.0,296.0,13.0,1.0,120.0,26.0,21.0,5.0,8.0,0.0,91.0,66.0,0.0,81.0,182.0,53.0,8.0,1170.0,1.0,0.0,311.0,0.0,34.0,24.0,10.0,4.0,1.0,0.0,1.0,0.0,192.0,192.0,16.0,0.0,13.0,13.0,0.0,111.0,24.0,23.0,49.0,1.0,0.0,0.0,17.0,18.0,9.0,18.0,205.0,2.0,0.0,0.0,1.0,1.0,307.0,42.0,22.0,1.0,78.0,181.0,9.0,6.0,143.0,288.0,488.0,0.0,0.0,0.0,0.0,1.0,646.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Halldór Snær Georgsson,KR,13,12,1159.0,527.0,28.0,34.0,69.0,20.0,72.0,20.0,56.0,561.0,1.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,43.0,0.0,0.0,144.0,1.0,4.0,1.0,77.0,0.0,0.0,0.0,1.0,2.0,9.0,27.0,0.0,1.0,0.0,44.0,41.0,12.0,0.0,347.0,12.0,1.0,76.0,31.0,28.0,3.0,5.0,0.0,87.0,72.0,0.0,227.0,111.0,35.0,13.0,1159.0,1.0,1.0,577.0,0.0,11.0,11.0,3.0,3.0,1.0,0.0,1.0,0.0,112.0,112.0,50.0,2.0,46.0,8.0,3.0,99.0,22.0,12.0,34.0,2.0,0.0,0.0,29.0,12.0,11.0,12.0,474.0,0.0,0.0,1.0,0.0,2.0,563.0,58.0,27.0,0.0,44.0,110.0,9.0,20.0,87.0,157.0,673.0,0.0,0.0,1.0,1.0,1.0,824.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
Anton Ari Einarsson,Breidablik,12,12,1080.0,278.0,41.0,44.0,18.0,5.0,55.0,27.0,88.0,322.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,56.0,0.0,0.0,113.0,0.0,4.0,0.0,71.0,0.0,3.0,1.0,8.0,0.0,6.0,9.0,0.0,3.0,1.0,53.0,41.0,12.0,0.0,297.0,12.0,0.0,25.0,24.0,23.0,1.0,6.0,0.0,86.0,56.0,0.0,79.0,145.0,45.0,7.0,1080.0,1.0,1.0,388.0,1.0,16.0,14.0,1.0,1.0,3.0,0.0,3.0,0.0,137.0,137.0,20.0,1.0,33.0,1.0,0.0,79.0,34.0,12.0,46.0,2.0,0.0,0.0,7.0,13.0,10.0,13.0,288.0,0.0,0.0,0.0,0.0,2.0,311.0,69.0,9.0,0.0,53.0,144.0,7.0,5.0,106.0,217.0,455.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Jökull Andrésson,FH,12,12,1080.0,144.0,11.0,24.0,71.0,6.0,54.0,19.0,49.0,168.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,68.0,0.0,0.0,101.0,0.0,5.0,1.0,13.0,1.0,0.0,7.0,10.0,1.0,9.0,19.0,0.0,0.0,0.0,34.0,16.0,12.0,0.0,180.0,12.0,0.0,98.0,29.0,24.0,5.0,5.0,0.0,74.0,54.0,0.0,41.0,96.0,24.0,16.0,1080.0,0.0,0.0,143.0,0.0,6.0,18.0,1.0,0.0,2.0,0.0,2.0,0.0,111.0,111.0,22.0,0.0,0.0,10.0,1.0,57.0,24.0,12.0,37.0,0.0,0.0,0.0,21.0,5.0,3.0,5.0,84.0,1.0,0.0,1.0,0.0,0.0,182.0,17.0,19.0,0.0,34.0,96.0,5.0,6.0,87.0,157.0,278.0,0.0,0.0,0.0,3.0,0.0,402.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
Viktor Freyr Sigurðsson,Fram,12,12,1080.0,111.0,15.0,55.0,18.0,10.0,40.0,39.0,72.0,166.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,85.0,50.0,0.0,0.0,110.0,0.0,3.0,1.0,48.0,0.0,2.0,5.0,9.0,2.0,3.0,22.0,3.0,0.0,0.0,95.0,65.0,12.0,2.0,229.0,12.0,2.0,34.0,24.0,21.0,3.0,5.0,3.0,86.0,41.0,0.0,59.0,185.0,55.0,9.0,1080.0,1.0,0.0,245.0,0.0,23.0,55.0,10.0,5.0,2.0,2.0,2.0,0.0,157.0,157.0,19.0,0.0,25.0,9.0,1.0,33.0,19.0,14.0,35.0,1.0,0.0,0.0,8.0,24.0,13.0,24.0,132.0,1.0,0.0,1.0,0.0,1.0,136.0,23.0,22.0,0.0,95.0,185.0,6.0,10.0,154.0,224.0,321.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Steinþór Már Auðunsson,KA,12,12,1080.0,238.0,22.0,30.0,48.0,4.0,59.0,18.0,64.0,268.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,142.0,66.0,0.0,0.0,114.0,0.0,5.0,1.0,39.0,0.0,2.0,3.0,11.0,1.0,9.0,12.0,0.0,0.0,0.0,48.0,18.0,12.0,1.0,250.0,12.0,0.0,82.0,25.0,23.0,2.0,13.0,0.0,81.0,59.0,0.0,53.0,123.0,30.0,16.0,1080.0,0.0,0.0,269.0,0.0,16.0,40.0,5.0,1.0,2.0,1.0,2.0,0.0,124.0,124.0,19.0,1.0,19.0,4.0,2.0,86.0,41.0,11.0,52.0,0.0,0.0,0.0,28.0,11.0,5.0,11.0,205.0,1.0,0.0,1.0,0.0,0.0,266.0,43.0,12.0,2.0,48.0,123.0,13.0,4.0,68.0,182.0,389.0,0.0,0.0,0.0,1.0,0.0,537.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,2.0
Ásgeir Orri Magnússon,Keflavík,12,12,1080.0,189.0,26.0,73.0,42.0,22.0,81.0,46.0,114.0,262.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,119.0,56.0,1.0,0.0,160.0,0.0,3.0,0.0,64.0,1.0,2.0,4.0,13.0,3.0,6.0,34.0,1.0,0.0,1.0,55.0,25.0,12.0,1.0,309.0,12.0,3.0,78.0,23.0,21.0,2.0,11.0,1.0,128.0,88.0,0.0,60.0,189.0,76.0,7.0,1080.0,1.0,0.0,277.0,0.0,11.0,22.0,7.0,5.0,0.0,1.0,1.0,0.0,158.0,158.0,19.0,2.0,23.0,12.0,1.0,41.0,30.0,11.0,41.0,1.0,1.0,1.0,14.0,20.0,6.0,20.0,192.0,0.0,0.0,0.0,0.0,1.0,225.0,39.0,34.0,2.0,56.0,185.0,16.0,23.0,123.0,257.0,410.0,1.0,0.0,0.0,0.0,0.0,604.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,1.0
Aron Birkir Stefánsson,Thór,12,12,1080.0,201.0,55.0,48.0,44.0,2.0,62.0,22.0,109.0,249.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,82.0,0.0,0.0,128.0,0.0,8.0,1.0,29.0,0.0,1.0,19.0,30.0,3.0,7.0,19.0,0.0,1.0,0.0,103.0,55.0,12.0,0.0,322.0,12.0,0.0,87.0,32.0,29.0,3.0,16.0,0.0,96.0,65.0,0.0,84.0,217.0,50.0,19.0,1080.0,0.0,1.0,294.0,1.0,74.0,31.0,6.0,4.0,2.0,0.0,3.0,1.0,206.0,206.0,16.0,0.0,8.0,10.0,1.0,44.0,45.0,17.0,62.0,1.0,0.0,0.0,17.0,21.0,11.0,21.0,180.0,1.0,0.0,1.0,0.0,1.0,236.0,103.0,19.0,0.0,103.0,214.0,16.0,2.0,106.0,308.0,450.0,0.0,0.0,0.0,0.0,0.0,616.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Aron Snær Friðriksson,Víkingur R,9,8,765.0,173.0,16.0,30.0,9.0,6.0,26.0,29.0,52.0,203.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,22.0,0.0,0.0,54.0,0.0,3.0,0.0,42.0,0.0,5.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,34.0,24.0,8.0,0.0,174.0,8.0,0.0,14.0,3.0,2.0,1.0,3.0,0.0,43.0,27.0,0.0,43.0,83.0,31.0,7.0,765.0,0.0,0.0,244.0,0.0,8.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,8.0,0.0,16.0,4.0,0.0,57.0,11.0,4.0,15.0,0.0,0.0,0.0,8.0,13.0,8.0,13.0,187.0,1.0,0.0,0.0,1.0,0.0,192.0,41.0,7.0,1.0,34.0,82.0,3.0,6.0,63.0,121.0,274.0,0.0,0.0,1.0,1.0,1.0,332.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Ari í Haraldsstovu Petersen,ÍBV,8,8,720.0,193.0,16.0,17.0,15.0,4.0,37.0,17.0,45.0,210.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,33.0,0.0,0.0,72.0,0.0,4.0,0.0,57.0,0.0,0.0,0.0,3.0,1.0,3.0,10.0,1.0,1.0,2.0,24.0,16.0,8.0,0.0,147.0,8.0,0.0,20.0,12.0,7.0,3.0,17.0,1.0,43.0,40.0,0.0,73.0,57.0,17.0,6.0,720.0,0.0,0.0,241.0,1.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,12.0,0.0,20.0,1.0,1.0,55.0,9.0,5.0,14.0,0.0,0.0,0.0,5.0,8.0,4.0,8.0,186.0,1.0,0.0,0.0,0.0,0.0,219.0,30.0,10.0,0.0,24.0,56.0,18.0,4.0,58.0,106.0,275.0,0.0,0.0,0.0,0.0,0.0,359.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Árni Marinó Einarsson,ÍA,7,7,630.0,190.0,14.0,23.0,6.0,6.0,26.0,22.0,40.0,213.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,35.0,0.0,0.0,59.0,0.0,1.0,0.0,50.0,0.0,0.0,2.0,3.0,0.0,4.0,9.0,3.0,0.0,1.0,14.0,10.0,7.0,0.0,135.0,7.0,1.0,10.0,14.0,13.0,1.0,8.0,3.0,38.0,26.0,0.0,64.0,64.0,23.0,6.0,630.0,0.0,0.0,239.0,0.0,4.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,55.0,55.0,12.0,1.0,23.0,1.0,0.0,68.0,14.0,7.0,21.0,0.0,0.0,0.0,9.0,5.0,3.0,5.0,200.0,0.0,0.0,0.0,0.0,0.0,203.0,16.0,9.0,1.0,14.0,64.0,9.0,6.0,57.0,93.0,267.0,0.0,0.0,0.0,1.0,0.0,337.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Jón Sölvi Símonarson,ÍA,5,5,450.0,95.0,7.0,24.0,19.0,6.0,20.0,20.0,33.0,119.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,31.0,0.0,0.0,42.0,0.0,1.0,0.0,25.0,0.0,2.0,0.0,1.0,1.0,3.0,13.0,0.0,0.0,1.0,22.0,17.0,5.0,1.0,117.0,5.0,1.0,26.0,9.0,9.0,0.0,2.0,0.0,35.0,22.0,0.0,22.0,66.0,24.0,5.0,450.0,0.0,0.0,145.0,0.0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,65.0,65.0,5.0,0.0,8.0,2.0,0.0,43.0,2.0,7.0,9.0,0.0,0.0,0.0,3.0,7.0,5.0,7.0,94.0,0.0,0.0,0.0,0.0,0.0,116.0,16.0,13.0,0.0,22.0,66.0,3.0,7.0,63.0,94.0,182.0,0.0,0.0,0.0,1.0,0.0,232.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Ingvar Jónsson,Víkingur R,5,5,405.0,88.0,13.0,10.0,6.0,6.0,12.0,7.0,22.0,98.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,0.0,0.0,30.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,16.0,12.0,5.0,0.0,70.0,5.0,0.0,7.0,4.0,4.0,0.0,2.0,0.0,22.0,13.0,0.0,30.0,36.0,10.0,2.0,405.0,0.0,0.0,120.0,0.0,3.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,36.0,36.0,6.0,0.0,9.0,0.0,0.0,32.0,6.0,2.0,8.0,0.0,0.0,0.0,5.0,3.0,2.0,3.0,91.0,0.0,0.0,0.0,0.0,0.0,97.0,17.0,6.0,0.0,16.0,35.0,4.0,6.0,34.0,54.0,132.0,0.0,1.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcel Zapytowski,ÍBV,4,4,360.0,89.0,14.0,10.0,22.0,5.0,17.0,8.0,29.0,99.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,30.0,0.0,1.0,33.0,0.0,2.0,0.0,23.0,1.0,0.0,2.0,8.0,1.0,3.0,10.0,0.0,1.0,0.0,16.0,11.0,4.0,0.0,91.0,4.0,0.0,37.0,14.0,10.0,4.0,1.0,0.0,25.0,17.0,0.0,33.0,43.0,10.0,4.0,360.0,1.0,0.0,107.0,1.0,5.0,6.0,2.0,1.0,0.0,0.0,1.0,1.0,58.0,58.0,7.0,0.0,9.0,2.0,1.0,31.0,9.0,3.0,12.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0,72.0,1.0,1.0,0.0,0.0,1.0,113.0,23.0,10.0,0.0,16.0,43.0,1.0,5.0,35.0,83.0,156.0,0.0,0.0,0.0,1.0,0.0,200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Arnar Freyr Ólafsson,KR,1,1,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
